"name","description"
"iMode","Title"
"iModelReport","Builds a report that evaluates a model, showing training and test lift curves, quantile measurements, goodness of fit measurements and predictor variable visualizations."
"iModelReportPDF","Builds PDF report describing the lift of the models, the variables in it, etc."
"iNGram","Wrapper function for ngram that handles errors more gracefully.  See ?ngram from documentation"
"iNGramDTM","Process a string into an n-gram document term matrix."
"iNegateCorpus","Function that creates a corpus from sentences that get iNegation properly run on them within this function. Just pass in raw sentence strings."
"iNegation","Function that appends a prefix to words in ""negative"" parts of sentences (ie after ""isn't"")."
"iNewISS","produces New ISS score from vector TODO assign 99? or no - Currently no TODO figure out NA? (no values, etc.)"
"iNextChangePct","computes percent change in first 2 readings"
"iPackage","Packages up the R project."
"iParseAddress","return parsed parts of address returns data.table object"
"iPrecision","Function that calculate the precision for a document term matrix."
"iPrepareNDC","Reshapes and collapses the NDC table into one row per PROPRIETARYNAME, NONPROPRIETARYNAME, and SUBSTANCE name columns and provides (1 or 0) counts of PHARM_CLASS and DEA_SCHEDULE. Mostly for use in iRxLookup()"
"iProfile.data.frame","profile a data from - for data validation purposes"
"iProfile.data.table","Summarize all of the columns of a data table across a variety of statistic metric: min, max, skew, most frequent value, sparsity, data type, etc."
"iProfile.table","profiles a list of database tables.  For data validation purposes"
"iQuantile","evaluates the predictions against the actuals by breaking it up into the specified number of quantiles (e.g. deciles = 10, quntiles = 5, etc)."
"iQuantile.randomForest","Calculates the quantiles (predicted v actual) for a random forest"
"iRFConfusionCalc","Calculates the frequencies from a confusion matrix by predicted class and by actual class for both the training set and the test set (if exists) in a random forest model."
"iRFConfusionVisualization","Visualizes confusion matrix frequencies in a heat map for the training and test sets (if exists) of a random forest, stratified by predicted class and by actual class."
"iRFLiftCurve","Plots a lift curve for a random forest model.  TO BE DEPRECATED.  Use iRFLiftCurve2"
"iRFLiftCurve2","New and improved lift curve generator for random forests"
"iRFTree2dendrogram","Converts a single tree (see getTree in randomForest) to a dendrogram that can be later plotted as such: plot(d,center=TRUE,leaflab='none',edgePar=list(t.cex=1,p.col=NA,p.lty=0)) where 'd' is the dendrogram created by this function."
"iRFtX","Function the builds a random forest where overlapping or non-independent samples exist.  Samples that are not independent exist in the same group (as defined by ""ids"").  This function randomly selects a sample from each group (""ids"") and trains a model on it with ntree, then repeats that nperm times, combining the result into one tree"
"iRange","Computes the range that all values exist in.  minObs defines the minumum number of non-NA values required to compute the statistic (default is 2)."
"iRangeNA","returns NA if 1 or 0 elements in x, otherwise iRange"
"iRank","Similar as the rank() function, however treats NA values different.  By default, NA's are assigned NA.  Also, this function will scale the rank into a percentile (bounded between 0 and 1)"
"iRbindlist.fill","Takes a lists of names of varying lengths and combines into a data.table.  kind of like rblindlist and rbind.fill"
"iRecall","Function that calculate the recall for a document term matrix."
"iResample","Safe version of the function ""sample"" where x is always treated as a vector to choose from even when the length of x equals 1 (where ""sample"" would treat it as a numeric to choose a value between 1:x)"
"iRoll","TO BE DEPRECATED USE iRollDT Calculates a rolling window statistic the conforms to the destination date and ID using the source data."
"iRollDT","iRollDT Fastest rolling function known to man"
"iRollDTChunked","iRollDTChunked Same as iRollDT except can handle huge dataset by chunking up the processing by the number of variables specified by chunk_size"
"iRollDTParallel","CURRENTLY NOT FUNCTIONAL Parrelized version of iRollDT"
"iRollDT_na_fill","iRollDT_na_fill Fill NA values from iRollDT based on on an input xwalk ***NEEDS documentation***"
"iRoughTrend","iRoughTrend Variable trending function for moving windows produced by iRollDT. A DT is passed in and the same DT is returned with the trend variable(s) appended to the end. The idea is to compare to windows - we compare a shorter window with a longer one (that includes the shorter window). If we are seeing how the last 7 days is trending, we compare the past 7 days with the past 28 (or any value longer) as such: (val_t7-(7/28)*val_t28)*((7/28)*val_t28) for percent trend val_t7-(7/28)*val_t28 for actual trend If percent is returned, it's (+/-)0-1(or more) not 0-100. Similar to MACD. Unless roll_data is keyed, can't guarantee the same row order is returned"
"iRxLookup","This is a heuristic lookup function that takes a character string (""x"") for a medicaiton order and looks up the most likely record in the Food and Drug Administrations National Drug Code Directory (aka ""NDC""). Use coerce_rx_list (list(c(""1"",""2""),c(""3"",""4""),...) to replace certain words (or Rx's) to manually improve matching. The database is checked into SVN under external/data and needs to be refreshed from time to time by downloading hte NDC Database File from http://www.fda.gov/Drugs/InformationOnDrugs/ucm142438.htm Matches PHARM_CLASS(es) and DEA schedules from NDC lookup table to an input vector of hand entered RX's"
"iRxLookupByName","Similar to iRxLookup but also pass in a vector of names of drugs (proprietary, nonproprietary, substance names all can go in this list) that you're looking for a match of in the NDC. These match to the NDC which then matches to rx_vec. If ndc_product_count=1, there was a match found. The idea is for finding groups of drugs here. For example, you can pass in a lookup_vec=c(""ativan"",""seroquel"",""lorazepam"") and all matches from your rx_vec will be returned with ndc_product_count=1 and non matches will have ndc_product_count=0. Initially used to support (hearth move out) rules."
"iRxRoll","Matches and rolls PHARM_CLASS and DEA (from NDC lookup table) on a hand entered RX / person / date table"
"iRxRollByName","Rolling function similar to iRxRoll but takes a vector of RX names to look against - any input RX's that those match return back a hit. For further explanation, see iRxRoll and iRxLookupByName."
"iSafeUnique","iSafeUnique Does a unique() on an object. If object is a data.table, uses eval(). If there were keys on the input data.table, this re-keys the same keys set before returning. The reason for this is that keying data.table's can have odd effects on unique(DT). TODO figure out a better way than eval() ... get() is probably too difficult to use"
"iSampleTemporalIndependence","Selects a random sample for a longitudinal dataset that ensures none of the samples overlap over time.  Ensures samples are independent."
"iScore","Turns the scores into a predictions using the referenceScores generated by iScore.getReference"
"iScore.getReference","Get's a reference matrix used to interpolate scores based on the prediction using the function iScore"
"iSearchNDC","Searches the pharmacy classes and drug names in the National Drug Code data for the specified search term."
"iSeason","returns season from max dates (right now goes from 2007-2014...)"
"iSeasonApprox","returns season from max dates (approximately...) uses lubridate library to extract day of year..."
"iSelectByMAD","Selects variables by the highest MAD m"
"iSelectByRF","Selects variables using random forest."
"iSelectNonColinear","Selects variables that are not colinear."
"iSentiment","TO BE DEPRECATED - USE iSentiment2 iSentiment() implements a very simple algorithm to estimate sentiment, assigning a integer score by subtracting the number of occurrences of negative words from that of positive words.  Also iSentiment counts the number litigious words, uncertain words, modal weak wors, and modal strong words."
"iSentiment2","iSentiment2() implements general algorithm for assigning a sentence a sentiment score based on the varies categories represented in the data.table sentiment_dt.  This data table must have the key set to the column that denotes the ""word""."
"iSetup","Sets up the test directory and vignettes for the project"
"iSetupLog","Sets up the logging architectures."
"iSparsity","Title"
"iSplineFUN","Creates a spline function"
"iSplineInterpolate","Interporalates x using the spline function created by iSplineFUN"
"iSplitRandomly","Splits a dataset randomly"
"iSplitter","iSplitter strsplit like function for use by v_iSplitter for using in a data.table"
"iSqlQuery","iSqlQuery Returns data.table from an SQL query. Currently uses RODBC::sqlQuery as the core ODBC database function"
"iSqlSave","iSqlSave Returns data.table from an SQL query. Currently uses RODBC::sqlQuery as the core ODBC database function"
"iStepwise","Uses stepwise addition to select variables for a bin model"
"iSum","return sum of all non-zero vals -> if only NA values, returns 0"
"iSum2","like iSumNA2 but returns NA if only NA values"
"iSum2NA","iSum2 that returns a numeric NA"
"iSumNA","iSum that returns a numeric NA"
"iSumNoNA","return sum of all non-zero vals -> if only NA values, returns NA"
"iSumNonZero","Sums the number of non-zero values in x.  iCountNonzero is not titled correctly"
"iSumZero","returns 0 if there are no values in x"
"iTableList","Gets the list of tables for the specified SQL server database"
"iTermToNGram","Returns an n-gram given an array of words"
"iTextToDTM","Turns a list of documents into a document term matrix."
"iTreesToCSV","Writes to a CSV file all trees in a random forest. Used to dump a RF model in R for import into Java."
"iTrend","difference in most recent observation and average of all other observations removes all NAs from vector...returns NA otherwise if any NAs in set"
"iTrendUnique","unique version of above"
"iTrimText","Trims leading and trailing spaces from text."
"iTruncateCategories","Truncate the least frequent categories and puts them all in a single ""all other"" category. This fucntion truncates the number of categories in a vector to the number (n) specfied"
"iUniqueCount","count of unique values in x"
"iVarImpPlot","Generates a variable importance plot for random forests.  Just more legible than the standard varImpPlot."
"iView","much better than waiting for View..."
"iViewTail","much better than waiting for View..."
"iWhichColsHaveInformationValue","Takes in a data frame or data table and returns a boolean vector indicating which columns or varaibles have any informaton value. Primarily used for coarse choosing of an X dataset, where any variables that are all NA or have no variance can be excluded from further processing."
"iWordCount","Returns number of words in a string (mostly for it's vectored version v_iWordCount for datatables)"
"iZipDistanceDT","Return data.table with distances between zip columns, counties too if specified"
"imidexR2","imidexR2: A package for building predictive models"
"insert_update_action_db","Passing the list output of get_action_insert_update_list() into this updates and inserts actions into the web-facing database TODO add in check for as_of_datetime to be date or posixct"
"isSorted","Determines if X is sorted"
"ll","Lists objects by size"
"makeBinViewerPDF","Version of bin visualizer that outputs all the bin visualizations to a pdf file"
"meanQuantiles","meanQuantiles Non-parametric way to empirically calculate CIs (a la Richard cave-man), calc mean and then means of above and below mean samples"
"myfunc","Function that gets the name of an object"
"run_rule_fun","Generic wrapper for running a rule function from a string (of the rule name)"
"safe.ifelse","Version of ifelse() designed for dates - to fix problem of date objects being turned into numerics"
"sort_csv","Takes a delimited separated value field and re-sorts it"
"v_iCleanPhoneNumber","Vectorized version of the function"
"v_iCleanZipCode","Vectorized version of the function"
"v_iFirstWord","Vectorized version of the function"
"v_iIsNum","Vectorized version of the function @param x"
"v_iSplitter","v_iSplitter strsplit like function for using in a data.table @param x"
"v_iWordCount","Vectorized version of the function"
"v_sort_csv","Vectorized version of the function"
"wrap_in_brackets","surround characters with brackets can be for exact regex search"
